127.0.0.1 - - [18/Dec/2017:14:43:09 +0800] "GET http://config.pinyin.sogou.com/api/toolbox/geturl.php?h=3376F20EDF84CE8EB73D175B7DB9C37E&v=8.6.0.1467&r=0000_sogou_pinyin_86b HTTP/1.1" 404 169 "-" "SOGOU_UPDATER"
127.0.0.1 - - [18/Dec/2017:14:43:21 +0800] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
127.0.0.1 - - [18/Dec/2017:14:43:21 +0800] "GET /favicon.ico HTTP/1.1" 404 571 "http://127.0.0.1/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
127.0.0.1 - - [18/Dec/2017:14:49:03 +0800] "GET / HTTP/1.1" 200 612 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
127.0.0.1 - - [18/Dec/2017:14:49:04 +0800] "GET /favicon.ico HTTP/1.1" 404 571 "http://127.0.0.1/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"
127.0.0.1 - - [18/Dec/2017:14:51:35 +0800] "POST http://www.sogou.com/imewis/msugg?ifc=4&em=4 HTTP/1.1" 404 169 "-" "SogouPSI"
127.0.0.1 - - [18/Dec/2017:14:51:35 +0800] "POST http://www.sogou.com/imewis/msugg?ifc=4&em=4 HTTP/1.1" 404 169 "-" "SogouPSI"
127.0.0.1 - - [18/Dec/2017:14:51:35 +0800] "POST http://www.sogou.com/imewis/msugg?ifc=4&em=4 HTTP/1.1" 404 169 "-" "SogouPSI"
127.0.0.1 - - [18/Dec/2017:14:51:35 +0800] "POST http://www.sogou.com/imewis/msugg?ifc=4&em=4 HTTP/1.1" 404 169 "-" "SogouPSI"
127.0.0.1 - - [18/Dec/2017:14:52:19 +0800] "GET /api HTTP/1.1" 404 169 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
127.0.0.1 - - [18/Dec/2017:14:52:19 +0800] "GET /favicon.ico HTTP/1.1" 404 169 "http://localhost/api" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1"
